"","fecha","sexonac","freq"
"622",2009-06-04,"M",1
"623",2009-06-05,"M",1
"624",2009-06-06,"F",1
"625",2009-06-06,"M",4
"626",2009-06-11,"M",1
"627",2009-06-15,"M",6
"628",2009-06-23,"M",2
"629",2009-06-30,"F",2
"630",2009-06-30,"M",9
"631",2009-07-06,"M",2
"632",2009-07-26,"F",1
"633",2009-08-02,"M",1
"634",2009-08-05,"F",1
"635",2009-08-16,"F",1
"636",2009-08-20,"M",1
"637",2009-08-21,"M",2
"638",2009-09-14,"M",2
"639",2009-09-28,"M",1
"640",2009-10-01,"M",4
"641",2009-10-11,"M",7
"642",2009-10-14,"F",2
"643",2009-10-16,"F",1
"644",2009-10-16,"M",1
"645",2009-10-17,"M",1
"646",2009-10-18,"F",3
"647",2009-10-18,"M",2
"648",2009-10-26,"M",1
"649",2009-10-30,"F",1
"650",2009-10-30,"M",2
"651",2009-11-17,"M",1
"652",2009-11-23,"F",1
"653",2009-11-30,"M",1
"654",2009-12-01,"M",1
"655",2009-12-02,"M",1
"656",2009-12-04,"M",1
"657",2009-12-14,"M",1
"658",2009-12-15,"F",1
"659",2010-01-01,"F",2
"660",2010-01-03,"S",5
"661",2010-01-25,"S",2
"662",2010-02-16,"F",1
"663",2010-02-17,"F",1
"664",2010-02-21,"M",1
"665",2010-03-11,"F",2
"666",2010-03-15,"M",1
"667",2010-03-20,"S",2
"668",2010-03-29,"S",2
"669",2010-04-07,"S",1
"670",2010-04-09,"M",2
"671",2010-04-09,"S",2
"672",2010-04-22,"S",1
"673",2010-04-28,"M",2
"674",2010-05-03,"S",1
"675",2010-05-05,"S",10
"676",2010-05-07,"M",1
"677",2010-05-11,"S",1
"678",2010-05-14,"F",8
"679",2010-05-14,"M",22
"680",2010-05-14,"S",4
"681",2010-05-18,"F",1
"682",2010-05-18,"M",2
"683",2010-05-20,"F",1
"684",2010-05-20,"S",1
"685",2010-05-21,"M",1
"686",2010-05-23,"M",4
"687",2010-05-23,"S",3
"688",2010-05-26,"M",1
"689",2010-05-27,"S",3
"690",2010-05-28,"M",1
"691",2010-05-29,"M",2
"692",2010-05-29,"S",2
"693",2010-06-03,"F",1
"694",2010-06-05,"M",2
"695",2010-06-07,"S",2
"696",2010-06-17,"S",2
"697",2010-07-01,"F",1
"698",2010-07-01,"M",1
"699",2010-07-02,"M",8
"700",2010-07-03,"S",1
"701",2010-07-10,"M",2
"702",2010-07-11,"F",1
"703",2010-07-11,"M",2
"704",2010-07-17,"M",4
"705",2010-07-18,"F",1
"706",2010-07-21,"F",1
"707",2010-07-22,"M",2
"708",2010-07-23,"M",1
"709",2010-07-24,"F",2
"710",2010-07-25,"M",4
"711",2010-07-28,"F",2
"712",2010-07-28,"M",20
"713",2010-08-09,"F",1
"714",2010-08-10,"F",2
"715",2010-08-12,"F",2
"716",2010-08-12,"M",4
"717",2010-08-13,"F",2
"718",2010-08-13,"M",1
"719",2010-08-15,"F",1
"720",2010-08-18,"M",2
"721",2010-08-20,"M",2
"722",2010-08-29,"M",1
"723",2010-09-06,"M",6
"724",2010-09-07,"F",1
"725",2010-09-07,"M",2
"726",2010-09-10,"F",1
"727",2010-09-10,"M",2
"728",2010-09-14,"M",2
"729",2010-09-15,"M",2
"730",2010-09-16,"M",1
"731",2010-09-17,"F",2
"732",2010-09-19,"M",1
"733",2010-09-24,"M",1
"734",2010-09-26,"M",1
"735",2010-09-28,"F",6
"736",2010-09-28,"M",14
"737",2010-10-04,"M",2
"738",2010-10-05,"F",1
"739",2010-10-05,"M",1
"740",2010-10-09,"F",1
"741",2010-10-09,"M",2
"742",2010-10-11,"F",1
"743",2010-10-12,"M",2
"744",2010-10-13,"M",2
"745",2010-10-14,"M",1
"746",2010-11-05,"M",1
"747",2010-11-14,"F",1
"748",2010-11-14,"M",1
"749",2010-11-14,"S",1
"750",2010-11-16,"F",2
"751",2010-11-16,"M",1
"752",2010-11-17,"F",5
"753",2010-11-17,"M",1
"754",2010-11-18,"M",2
"755",2010-11-24,"M",1
"756",2010-11-25,"F",2
"757",2010-12-01,"F",3
"758",2010-12-05,"M",2
"759",2010-12-10,"M",1
"760",2010-12-11,"F",8
"761",2010-12-14,"M",3
"762",2010-12-23,"M",3
"763",2010-12-31,"M",1
"764",2011-01-06,"F",2
"765",2011-01-11,"M",3
"766",2011-01-13,"F",1
"767",2011-01-13,"M",3
"768",2011-01-20,"F",2
"769",2011-01-30,"M",1
"770",2011-01-31,"F",2
"771",2011-01-31,"M",3
"772",2011-02-07,"F",1
"773",2011-02-09,"M",2
"774",2011-02-11,"F",6
"775",2011-02-16,"F",10
"776",2011-02-16,"M",54
"777",2011-02-17,"F",2
"778",2011-02-22,"M",1
"779",2011-02-23,"F",10
"780",2011-02-23,"M",24
"781",2011-02-25,"F",1
"782",2011-03-02,"F",1
"783",2011-03-02,"M",5
"784",2011-03-07,"M",2
"785",2011-03-08,"F",3
"786",2011-03-08,"M",16
"787",2011-03-09,"M",1
"788",2011-03-16,"M",3
"789",2011-03-23,"M",5
"790",2011-03-24,"M",1
"791",2011-03-26,"M",4
"792",2011-03-29,"M",1
"793",2011-03-30,"F",4
"794",2011-03-31,"M",1
"795",2011-04-04,"M",1
"796",2011-04-06,"F",2
"797",2011-04-07,"M",1
"798",2011-04-25,"M",10
"799",2011-04-30,"S",2
"800",2011-05-01,"M",2
"801",2011-05-20,"F",2
"802",2011-06-02,"M",4
"803",2011-06-08,"F",1
"804",2011-06-14,"F",2
"805",2011-06-14,"M",4
"806",2011-06-22,"M",2
"807",2011-06-27,"F",1
"808",2011-07-05,"M",8
"809",2011-07-13,"F",2
"810",2011-07-15,"M",3
"811",2011-07-19,"M",1
"812",2011-07-27,"M",9
"813",2011-07-28,"F",2
"814",2011-07-28,"M",1
"815",2011-07-29,"F",1
"816",2011-08-06,"M",1
"817",2011-08-07,"F",1
"818",2011-08-09,"M",1
"819",2011-08-22,"M",1
"820",2011-08-23,"F",1
"821",2011-08-23,"M",1
"822",2011-08-24,"M",1
"823",2011-09-01,"M",1
"824",2011-09-02,"M",1
"825",2011-09-03,"F",1
"826",2011-09-08,"M",1
"827",2011-09-12,"M",1
"828",2011-09-14,"F",1
"829",2011-09-16,"F",2
"830",2011-09-16,"M",2
"831",2011-09-24,"M",1
"832",2011-09-25,"M",1
"833",2011-10-03,"M",1
"834",2011-10-04,"S",1
"835",2011-10-05,"S",1
"836",2011-10-16,"M",3
"837",2011-10-18,"S",2
"838",2011-10-27,"F",1
"839",2011-10-29,"M",1
"840",2011-11-09,"F",1
"841",2011-11-10,"F",10
"842",2011-11-10,"M",3
"843",2011-11-10,"S",2
"844",2011-11-12,"M",2
"845",2011-11-21,"S",1
"846",2011-11-23,"M",1
"847",2011-11-23,"S",1
"848",2011-11-25,"S",1
"849",2011-11-27,"S",1
"850",2011-11-28,"S",1
"851",2011-12-10,"F",16
"852",2011-12-10,"S",2
"853",2011-12-16,"F",1
"854",2011-12-23,"S",1
"855",2012-01-01,"S",1
"856",2012-01-02,"S",1
"857",2012-01-04,"S",2
"858",2012-01-10,"S",1
"859",2012-01-12,"S",1
"860",2012-01-13,"S",1
"861",2012-01-15,"M",1
"862",2012-01-15,"S",1
"863",2012-01-16,"S",1
"864",2012-01-17,"F",1
"865",2012-01-17,"S",1
"866",2012-01-20,"M",1
"867",2012-01-20,"S",2
"868",2012-01-21,"F",2
"869",2012-01-21,"M",2
"870",2012-01-21,"S",1
"871",2012-01-23,"F",1
"872",2012-01-23,"S",1
"873",2012-01-24,"S",1
"874",2012-01-25,"F",1
"875",2012-01-25,"M",2
"876",2012-01-27,"M",1
"877",2012-01-29,"F",1
"878",2012-02-02,"F",1
"879",2012-02-04,"M",2
"880",2012-02-04,"S",1
"881",2012-02-07,"M",2
"882",2012-02-07,"S",7
"883",2012-02-11,"F",1
"884",2012-02-11,"M",1
"885",2012-02-15,"S",1
"886",2012-02-17,"S",1
"887",2012-02-18,"S",1
"888",2012-02-20,"F",2
"889",2012-02-20,"M",2
"890",2012-02-20,"S",2
"891",2012-02-21,"F",1
"892",2012-02-21,"S",3
"893",2012-02-27,"S",3
"894",2012-03-02,"S",2
"895",2012-03-04,"S",1
"896",2012-03-06,"F",1
"897",2012-03-07,"S",1
"898",2012-03-08,"S",1
"899",2012-03-10,"M",1
"900",2012-03-11,"S",1
"901",2012-03-12,"S",1
"902",2012-03-15,"S",1
"903",2012-03-16,"M",1
"904",2012-03-23,"M",2
"905",2012-04-03,"F",4
"906",2012-04-03,"M",1
"907",2012-04-05,"S",2
"908",2012-04-11,"S",3
"909",2012-04-13,"S",2
"910",2012-04-17,"S",1
"911",2012-04-18,"S",2
"912",2012-04-19,"S",2
"913",2012-04-20,"S",1
"914",2012-04-21,"S",3
"915",2012-04-22,"S",1
"916",2012-04-26,"S",2
"917",2012-04-27,"M",1
"918",2012-04-28,"S",1
"919",2012-04-29,"F",1
"920",2012-04-30,"M",2
"921",2012-05-02,"M",5
"922",2012-05-03,"F",1
"923",2012-05-03,"M",1
"924",2012-05-07,"F",1
"925",2012-05-07,"M",1
"926",2012-05-08,"F",1
"927",2012-05-08,"M",3
"928",2012-05-09,"M",8
"929",2012-05-13,"F",1
